doc_id,title,type,difficulty,ai_generated,concept_tags,source_file,url,license,date,author
doc-built-in-types-10cf62e085,Built-in TypesÂ¶,tutorial,intro,false,data_types|dictionaries|lists|sets|strings|tuples,data/corpus_raw/3_library_stdtypes_html_2451f7.json,https://docs.python.org/3/library/stdtypes.html,PSF Documentation License,,
doc-chapter-1-the-way-of-the-program-06335be0a8,Chapter 1  The way of the program,tutorial,intro,false,data_types|expressions|operators|variables,data/corpus_raw/scraped/thinkpython2_html_thinkpython2002_html_00aa1a.json,https://greenteapress.com/thinkpython2/html/thinkpython2002.html,CC BY-NC 3.0,,
doc-chapter-10-lists-3a00a91ee0,Chapter 10  Lists,tutorial,intro,false,data_structures|lists|tuples,data/corpus_raw/scraped/thinkpython2_html_thinkpython2011_html_51b49d.json,https://greenteapress.com/thinkpython2/html/thinkpython2011.html,CC BY-NC 3.0,,
doc-chapter-11-dictionaries-5d588bf9ea,Chapter 11  Dictionaries,tutorial,intermediate,false,OOP|classes|objects,data/corpus_raw/thinkpython2_html_thinkpython2012_html_5873bd.json,https://greenteapress.com/thinkpython2/html/thinkpython2012.html,CC BY-NC 3.0,,
doc-chapter-12-tuples-821d2530d4,Chapter 12  Tuples,tutorial,intermediate,false,OOP|classes|inheritance,data/corpus_raw/thinkpython2_html_thinkpython2013_html_4bdc7a.json,https://greenteapress.com/thinkpython2/html/thinkpython2013.html,CC BY-NC 3.0,,
doc-chapter-13-case-study-data-structure-selection-f05d897455,Chapter 13  Case study: data structure selection,tutorial,intermediate,false,OOP|operator_overloading|special_methods,data/corpus_raw/scraped/thinkpython2_html_thinkpython2014_html_8ba08b.json,https://greenteapress.com/thinkpython2/html/thinkpython2014.html,CC BY-NC 3.0,,
doc-chapter-14-files-4dcfd85da9,Chapter 14  Files,tutorial,intermediate,false,algorithms|recursion|sorting,data/corpus_raw/thinkpython2_html_thinkpython2015_html_c04cd8.json,https://greenteapress.com/thinkpython2/html/thinkpython2015.html,CC BY-NC 3.0,,
doc-chapter-15-classes-and-objects-9467cf0dec,Chapter 15  Classes and objects,tutorial,intermediate,false,algorithms|recursion|searching|sorting,data/corpus_raw/thinkpython2_html_thinkpython2016_html_bb1d60.json,https://greenteapress.com/thinkpython2/html/thinkpython2016.html,CC BY-NC 3.0,,
doc-chapter-16-classes-and-functions-130c309393,Chapter 16  Classes and functions,tutorial,intro,false,debugging|error_handling|exceptions,data/corpus_raw/thinkpython2_html_thinkpython2017_html_8b1699.json,https://greenteapress.com/thinkpython2/html/thinkpython2017.html,CC BY-NC 3.0,,
doc-chapter-19-the-goodies-3a303ea7ff,Chapter 19  The Goodies,tutorial,intro,false,common_errors|debugging|error_handling,data/corpus_raw/scraped/thinkpython2_html_thinkpython2020_html_8f1a31.json,https://greenteapress.com/thinkpython2/html/thinkpython2020.html,CC BY-NC 3.0,,
doc-chapter-2-variables-expressions-and-statements-021d779cec,"Chapter 2  Variables, expressions and statements",tutorial,intro,false,arguments|functions|return_values,data/corpus_raw/scraped/thinkpython2_html_thinkpython2003_html_3c07d8.json,https://greenteapress.com/thinkpython2/html/thinkpython2003.html,CC BY-NC 3.0,,
doc-chapter-3-functions-c49902cedc,Chapter 3  Functions,tutorial,intro,false,conditionals|control_flow|recursion,data/corpus_raw/scraped/thinkpython2_html_thinkpython2004_html_512493.json,https://greenteapress.com/thinkpython2/html/thinkpython2004.html,CC BY-NC 3.0,,
doc-chapter-4-case-study-interface-design-3b8d3e6d00,Chapter 4  Case study: interface design,tutorial,intro,false,functions|recursion|return_values|scope,data/corpus_raw/thinkpython2_html_thinkpython2005_html_82fc01.json,https://greenteapress.com/thinkpython2/html/thinkpython2005.html,CC BY-NC 3.0,,
doc-chapter-5-conditionals-and-recursion-0e72a852c9,Chapter 5  Conditionals and recursion,tutorial,intro,false,iteration|loops|strings,data/corpus_raw/thinkpython2_html_thinkpython2006_html_58db3a.json,https://greenteapress.com/thinkpython2/html/thinkpython2006.html,CC BY-NC 3.0,,
doc-chapter-6-fruitful-functions-19f263827a,Chapter 6  Fruitful functions,tutorial,intro,false,indexing|slicing|string_methods|strings,data/corpus_raw/thinkpython2_html_thinkpython2007_html_92a5e1.json,https://greenteapress.com/thinkpython2/html/thinkpython2007.html,CC BY-NC 3.0,,
doc-chapter-7-iteration-4fefdcb3c2,Chapter 7  Iteration,tutorial,intro,false,indexing|lists|mutability|slicing,data/corpus_raw/scraped/thinkpython2_html_thinkpython2008_html_e12c4d.json,https://greenteapress.com/thinkpython2/html/thinkpython2008.html,CC BY-NC 3.0,,
doc-chapter-8-strings-689ec2f30c,Chapter 8  Strings,tutorial,intro,false,assignment|data_structures|tuples,data/corpus_raw/thinkpython2_html_thinkpython2009_html_f2f5e0.json,https://greenteapress.com/thinkpython2/html/thinkpython2009.html,CC BY-NC 3.0,,
doc-chapter-9-case-study-word-play-5f128ed3ca,Chapter 9  Case study: word play,tutorial,intro,false,data_structures|dictionaries|key_value,data/corpus_raw/thinkpython2_html_thinkpython2010_html_ba8145.json,https://greenteapress.com/thinkpython2/html/thinkpython2010.html,CC BY-NC 3.0,,
doc-closures-and-late-binding-loop-variable-capture-and-dependable-ways-to-freeze-values-562b6f6f3d,Closures and late binding: loop variable capture and dependable ways to freeze values,tutorial,hard,false,closures|lambdas|late-binding|loops|scope|variables,data/corpus_raw/variables_hard_3.json,https://stackoverflow.com/questions/2295290/what-do-lambda-function-closures-capture,CC BY-SA (Stack Overflow; version depends on post date),,
doc-closures-moderate-inner-functions-nonlocal-state-and-function-factories-ce0632487d,"Closures (moderate): inner functions, nonlocal state, and function factories",tutorial,moderate,true,caching|closures|function-factory|functions|nested-functions|nonlocal,data/corpus_raw/functions_moderate_5.json,,,,
doc-combining-conditions-and-or-not-parentheses-and-readable-checks-271c64265a,"Combining conditions: and/or/not, parentheses, and readable checks",tutorial,intro,true,and|conditionals|guards|not|or|parentheses|readability,data/corpus_raw/conditionals_easy_5.json,,,,
doc-common-conditional-patterns-ternary-if-expression-membership-tests-and-clean-checks-4c1c191966,"Common conditional patterns: ternary if-expression, membership tests, and clean checks",tutorial,intro,false,comparisons|conditionals|else|guard-clauses|if|membership|ternary,data/corpus_raw/conditionals_easy_3.json,https://learnxinyminutes.com/python/,CC BY-SA 3.0 (Learn X in Y Minutes),,
doc-conditional-expressions-using-a-if-cond-else-b-responsibly-37656294f5,Conditional expressions: using 'a if cond else b' responsibly,reference,moderate,false,conditional-expression|conditionals|formatting|readability|ternary,data/corpus_raw/conditionals_moderate_3.json,https://peps.python.org/pep-0308/,Public domain (PEP text),,
doc-conditional-statements-comparisons-elif-chains-and-simple-input-based-decisions-6e8ed35909,"Conditional statements: comparisons, elif chains, and simple input-based decisions",tutorial,intro,false,and-or|comparisons|conditionals|elif|else|if|input-validation|practice,data/corpus_raw/conditionals_easy_2.json,https://en.wikibooks.org/wiki/Python_Programming/Conditional_Statements,CC BY-SA 4.0 (Wikibooks) / also dual-licensed with GFDL per Wikibooks policy,,
doc-conditionals-in-python-if-elif-else-blocks-and-readable-decision-logic-a5516b23d9,"Conditionals in Python: if/elif/else, blocks, and readable decision logic",tutorial,intro,false,blocks|comparisons|conditionals|elif|else|if|indentation|truthiness,data/corpus_raw/conditionals_easy_1.json,https://docs.python.org/3/tutorial/controlflow.html,PSF Documentation License; code examples are dual-licensed (PSF-2.0 and BSD-0 starting Python 3.8.6+),,
doc-creating-functions-easy-small-reusable-pieces-defaults-and-quick-tests-1a947f02ed,"Creating functions (easy): small reusable pieces, defaults, and quick tests",tutorial,intro,false,assert|debugging|defaults|functions|parameters|return|testing,data/corpus_raw/functions_easy_3.json,https://carpentries-incubator.github.io/python-novice-programming-gapminder/08-func/index.html,CC BY 4.0 (The Carpentries lesson material),,
doc-creating-variables-by-assignment-naming-input-and-common-errors-af2dd8ed46,"Creating variables by assignment: naming, input, and common errors",tutorial,intro,false,assignment|input|nameerror|naming|snake_case|type-conversion|unpacking|variables,data/corpus_raw/variables_easy_2.json,https://learnxinyminutes.com/python/,CC BY-SA 3.0 (Learn X in Y Minutes docs),,
doc-decorator-factories-hard-writing-decorators-that-accept-arguments-safely-4ccdf84500,Decorator factories (hard): writing decorators that accept arguments safely,tutorial,hard,true,decorator-factory|decorators|functions|retry|validation|wraps,data/corpus_raw/functions_hard_4.json,,,,
doc-decorators-hard-what-decorator-means-stacking-decorators-and-readable-function-transformations-7abd2d614e,"Decorators (hard): what @decorator means, stacking decorators, and readable function transformations",reference,hard,false,classmethod|decorators|functions|methods|pep-318|stacking|staticmethod|wrapping,data/corpus_raw/functions_hard_1.json,https://peps.python.org/pep-0318/,Public domain (PEP text),,
doc-everyday-loop-patterns-iterating-lists-dicts-enumerate-and-building-results-ec0531db99,"Everyday loop patterns: iterating lists, dicts, enumerate, and building results",tutorial,intro,false,break|continue|dicts|enumerate|for|items|loops|parsing,data/corpus_raw/loops_easy_3.json,https://learnxinyminutes.com/python/,CC BY-SA 3.0 (Learn X in Y Minutes),,
doc-extended-unpacking-rest-splitting-sequences-safe-patterns-and-common-errors-595c1e439b,"Extended unpacking (*rest): splitting sequences, safe patterns, and common errors",reference,moderate,false,assignment|errors|extended-unpacking|parsing|unpacking|variables,data/corpus_raw/variables_moderate_3.json,https://peps.python.org/pep-3132/,Public domain (PEP text),,
doc-flexible-function-inputs-easy-args-kwargs-and-keyword-only-parameters-b887e583fa,"Flexible function inputs (easy): *args, **kwargs, and keyword-only parameters",tutorial,intro,true,args|defaults|functions|keyword-only|kwargs,data/corpus_raw/functions_easy_4.json,,,,
doc-function-parameters-moderate-defaults-keyword-args-args-kwargs-and-special-parameters-930de72751,"Function parameters (moderate): defaults, keyword args, *args/**kwargs, and / + * special parameters",tutorial,moderate,false,args|defaults|functions|keyword-arguments|keyword-only|kwargs|mutable-defaults|parameters|positional-only,data/corpus_raw/functions_moderate_1.json,https://docs.python.org/3/tutorial/controlflow.html,PSF Documentation License; code examples in docs are dual-licensed (PSF-2.0 and BSD-0 starting Python 3.8.6+),,
doc-functions-as-callables-easy-inputs-outputs-and-simple-scoping-intuition-204adfda5a,"Functions as callables (easy): inputs, outputs, and simple scoping intuition",tutorial,intro,false,arguments|callables|functions|locals|parameters|pure-functions|scope,data/corpus_raw/functions_easy_2.json,https://en.wikibooks.org/wiki/Python_Programming/Functions,CC BY-SA 4.0 (Wikibooks) / also dual-licensed with GFDL per Wikibooks policy,,
doc-generator-expressions-lazy-looping-one-pass-behavior-and-common-patterns-2bd4b01471,"Generator expressions: lazy looping, one-pass behavior, and common patterns",reference,hard,false,generator-expressions|generators|lazy-evaluation|loops|memory-efficiency|pipelines,data/corpus_raw/loops_hard_3.json,https://peps.python.org/pep-0289/,Public domain (PEP text),,
doc-glossary-4e4a714c7f,GlossaryÂ¶,tutorial,intro,false,OOP|data_types|functions|scope|variables,data/corpus_raw/scraped/3_glossary_html_d0d1f2.json,https://docs.python.org/3/glossary.html,PSF Documentation License,,
doc-guard-clauses-for-complex-conditionals-early-returns-readable-validation-and-safer-flows-6bf0f16cf5,"Guard clauses for complex conditionals: early returns, readable validation, and safer flows",tutorial,hard,true,conditionals|guard-clauses|normalization|readability|validation,data/corpus_raw/conditionals_hard_4.json,,,,
doc-higher-order-function-tools-hard-functools-wraps-lru-cache-cache-and-partial-7b6a338369,"Higher-order function tools (hard): functools.wraps, lru_cache/cache, and partial",reference,hard,false,cache|decorators|functions|functools|lru_cache|memoization|partial|wraps,data/corpus_raw/functions_hard_2.json,https://docs.python.org/3/library/functools.html,PSF Documentation License (Python docs),,
doc-how-for-loops-really-work-iterables-iterators-next-and-stopiteration-fe19a3476f,"How for-loops really work: iterables, iterators, next(), and StopIteration",reference,hard,false,for|generator|iterables|iterators|loops|next|stopiteration,data/corpus_raw/loops_hard_1.json,https://docs.python.org/3/library/stdtypes.html,PSF Documentation License (Python docs),,
doc-identity-vs-equality-is-vs-id-and-how-variables-relate-to-objects-eff3606ea8,"Identity vs equality: is vs ==, id(), and how variables relate to objects",tutorial,moderate,true,aliasing|equality|identity|mutability|none|variables,data/corpus_raw/variables_moderate_4.json,,,,
doc-introspecting-functions-hard-inspect-signature-parameters-annotations-and-wrapper-effects-7c83e939f7,"Introspecting functions (hard): inspect.signature, parameters, annotations, and wrapper effects",reference,hard,false,annotations|functions|inspect|introspection|signature|tooling|wrappers,data/corpus_raw/functions_hard_3.json,https://docs.python.org/3/library/inspect.html,PSF Documentation License (Python docs),,
doc-iterating-the-python-way-iterables-range-and-processing-sequences-with-for-loops-1f45214370,"Iterating the Python way: iterables, range(), and processing sequences with for-loops",tutorial,moderate,false,accumulation|filtering|for|iterables|len|loops|range,data/corpus_raw/loops_moderate_2.json,https://en.wikibooks.org/wiki/Python_Programming/Loops,CC BY-SA 4.0 (Wikibooks) / also dual-licensed with GFDL per Wikibooks policy,,
doc-iterator-algebra-with-itertools-chain-islice-product-cycle-and-groupby-373112e9f2,"Iterator algebra with itertools: chain, islice, product, cycle, and groupby",reference,hard,false,chain|cycle|groupby|islice|iterators|itertools|loops|pipelines|product,data/corpus_raw/loops_hard_2.json,https://docs.python.org/3/library/itertools.html,PSF Documentation License (Python docs),,
doc-keyword-only-arguments-pep-3102-making-calls-clearer-with-b252f08a30,Keyword-only arguments (PEP 3102): making calls clearer with '*',reference,moderate,false,api-design|functions|keyword-only|pep-3102|readability|special-parameters,data/corpus_raw/functions_moderate_3.json,https://peps.python.org/pep-3102/,Public domain (PEP text),,
doc-looping-over-text-lines-clean-parsing-counters-and-early-exit-patterns-ce462c5d5f,"Looping over text lines: clean parsing, counters, and early-exit patterns",tutorial,moderate,true,break|continue|counting|for|loop-else|loops|parsing|unpacking,data/corpus_raw/loops_moderate_4.json,,,,
doc-loops-in-python-for-vs-while-counting-and-sentinel-driven-repetition-5bd4c915d6,"Loops in Python: for vs while, counting, and sentinel-driven repetition",tutorial,intro,false,counting|for|infinite-loop|loops|range|sentinel|while,data/corpus_raw/loops_easy_1.json,https://en.wikibooks.org/wiki/Python_Programming/Loops,CC BY-SA 4.0 (Wikibooks) / also dual-licensed with GFDL per Wikibooks policy,,
doc-moderate-comparisons-chaining-membership-checks-identity-and-readable-conditions-2351734f71,"Moderate comparisons: chaining, membership checks, identity, and readable conditions",reference,moderate,false,chained-comparisons|comparisons|conditionals|identity|membership|precedence,data/corpus_raw/conditionals_moderate_2.json,https://docs.python.org/3/reference/expressions.html,PSF Documentation License (Python docs),,
doc-moderate-loop-control-break-continue-loop-else-and-search-patterns-1fcdf722b4,"Moderate loop control: break/continue, loop-else, and search patterns",tutorial,moderate,false,break|continue|for|loop-else|loops|nested-loops|range|search-patterns,data/corpus_raw/loops_moderate_1.json,https://docs.python.org/3/tutorial/controlflow.html,PSF Documentation License; code examples are dual-licensed (PSF-2.0 and BSD-0 starting Python 3.8.6+),,
doc-mutable-default-arguments-moderate-why-it-happens-and-safe-design-patterns-77be358d12,Mutable default arguments (moderate): why it happens and safe design patterns,tutorial,moderate,true,caching|defaults|dicts|functions|lists|mutable-defaults|testing,data/corpus_raw/functions_moderate_4.json,,,,
doc-nested-loop-search-scanning-a-grid-tracking-coordinates-and-clean-exit-strategies-cc184d15e4,"Nested loop search: scanning a grid, tracking coordinates, and clean exit strategies",tutorial,moderate,true,break|enumerate|functions|grids|loops|nested-loops|search,data/corpus_raw/loops_moderate_5.json,,,,
doc-nested-loops-easy-grids-simple-tables-and-readable-structure-a0cec1dadc,"Nested loops (easy): grids, simple tables, and readable structure",tutorial,intro,true,break|grids|loops|nested-loops|range|tables,data/corpus_raw/loops_easy_4.json,,,,
doc-one-pass-iterators-in-real-code-exhaustion-pitfalls-and-safe-handling-patterns-43f2cbd84c,One-pass iterators in real code: exhaustion pitfalls and safe handling patterns,tutorial,hard,true,debugging|exhaustion|generators|iterators|loops|pipelines,data/corpus_raw/loops_hard_4.json,,,,
doc-parallel-iteration-with-zip-and-enumerate-iterate-multiple-sequences-with-an-index-deed0d77ae,Parallel iteration with zip() and enumerate(): iterate multiple sequences with an index,tutorial,moderate,false,aggregation|enumerate|for|indexing|loops|parallel-iteration|zip,data/corpus_raw/loops_moderate_3.json,https://note.nkmk.me/en/python-for-enumerate-zip/,Copyright (site content); verify reuse permissions before redistribution,,
doc-positional-only-parameters-pep-570-using-to-control-function-call-semantics-a5d400b365,Positional-only parameters (PEP 570): using '/' to control function call semantics,reference,moderate,false,api-design|functions|pep-570|positional-only|signatures|special-parameters,data/corpus_raw/functions_moderate_2.json,https://peps.python.org/pep-0570/,Public domain (PEP text),,
doc-putting-it-together-parsing-records-with-unpacking-updating-counters-and-copying-safely-5b6baf6607,"Putting it together: parsing records with unpacking, updating counters, and copying safely",tutorial,moderate,true,augmented-assignment|copy|deepcopy|dicts|lists|parsing|unpacking|variables,data/corpus_raw/variables_moderate_5.json,,,,
doc-python-functions-easy-def-parameters-return-values-and-docstrings-124102fc40,"Python functions (easy): def, parameters, return values, and docstrings",tutorial,intro,false,def|defaults|docstrings|functions|keyword-arguments|parameters|return,data/corpus_raw/functions_easy_1.json,https://docs.python.org/3/tutorial/controlflow.html,PSF Documentation License; code examples in docs are dual-licensed (PSF-2.0 and BSD-0 starting Python 3.8.6+),,
doc-python-loop-control-for-range-break-continue-and-else-on-loops-9e511c3e9e,"Python loop control: for + range, break/continue, and else on loops",tutorial,intro,false,break|continue|for|iteration|loop-else|loops|range,data/corpus_raw/loops_easy_2.json,https://docs.python.org/3/tutorial/controlflow.html,PSF Documentation License; code examples in docs are dual-licensed (PSF-2.0 and BSD-0 starting Python 3.8.6+),,
doc-python-variable-binding-and-scope-blocks-locals-free-variables-globals-and-nonlocal-51310631d8,"Python variable binding and scope: blocks, locals, free variables, globals, and nonlocal",reference,hard,false,binding|blocks|closures|free-variables|global|nonlocal|scope|variables,data/corpus_raw/variables_hard_1.json,https://docs.python.org/3/reference/executionmodel.html,PSF Documentation License (Python docs),,
doc-readable-functions-easy-type-hints-docstrings-and-example-driven-design-91bbc2f25b,"Readable functions (easy): type hints, docstrings, and example-driven design",tutorial,intro,true,composition|docstrings|functions|return-types|type-hints,data/corpus_raw/functions_easy_5.json,,,,
doc-refactoring-if-elif-chains-dispatch-tables-for-commands-and-categories-dacef1c4a7,Refactoring if/elif chains: dispatch tables for commands and categories,tutorial,moderate,true,conditionals|dict|dispatch-table|get|readability|refactoring,data/corpus_raw/conditionals_moderate_4.json,,,,
doc-scope-surprises-class-bodies-comprehensions-and-generator-lambda-capture-c1ad7f3f8f,"Scope surprises: class bodies, comprehensions, and generator/lambda capture",tutorial,hard,true,classes|closures|comprehensions|generators|late-binding|scope|variables,data/corpus_raw/variables_hard_5.json,,,,
doc-short-circuit-conditionals-in-practice-safe-guards-and-optional-values-b39eec0789,Short-circuit conditionals in practice: safe guards and optional values,tutorial,moderate,true,all|any|conditionals|guards|short-circuit|truthiness|validation,data/corpus_raw/conditionals_moderate_5.json,,,,
doc-structural-pattern-matching-match-case-for-complex-branching-and-data-shaped-conditions-8b7b091601,Structural pattern matching: match/case for complex branching and data-shaped conditions,reference,hard,false,branching|conditionals|data-shapes|guards|match|pattern-matching,data/corpus_raw/conditionals_hard_2.json,https://peps.python.org/pep-0634/,Public domain (PEP text),,
doc-taming-complex-conditions-name-sub-checks-avoid-truthiness-traps-and-make-behavior-testable-6abc768071,"Taming complex conditions: name sub-checks, avoid truthiness traps, and make behavior testable",tutorial,hard,true,boolean-logic|conditionals|readability|refactoring|testing|truthiness,data/corpus_raw/conditionals_hard_5.json,,,,
doc-tool-friendly-wrappers-hard-preserving-metadata-wrapped-and-inspection-aware-patterns-ff9835dd75,"Tool-friendly wrappers (hard): preserving metadata, __wrapped__, and inspection-aware patterns",tutorial,hard,true,__wrapped__|decorators|functions|inspect|lru_cache|wrappers|wraps,data/corpus_raw/functions_hard_5.json,,,,
doc-truthiness-and-short-circuit-logic-how-python-decides-true-false-and-why-it-matters-abbe1e506b,Truthiness and short-circuit logic: how Python decides True/False and why it matters,reference,moderate,false,all|and|any|boolean-ops|conditionals|not|or|short-circuit|truthiness,data/corpus_raw/conditionals_moderate_1.json,https://docs.python.org/3/library/stdtypes.html,PSF Documentation License (Python docs),,
